Datetime,Collection_Slug,Floor_Price
26/12/2021 17:40,derace-horses,0.779
29/12/2021 19:40,bigtime-founders,0.256
26/12/2021 17:50,slotienft,0.419
26/12/2021 17:50,billionairezombiesclub,0.06999999
26/12/2021 17:50,boredapeyachtclub,59.0
26/12/2021 17:50,adidasoriginals,0.729
26/12/2021 17:50,veefriends,8.3999
26/12/2021 17:50,derace-ticket,2.74
26/12/2021 17:50,zed-run-official,0.0096
26/12/2021 17:50,derace-horses,0.779
29/12/2021 19:50,bigtime-founders,0.256
26/12/2021 20:30,slotienft,0.45
26/12/2021 20:30,billionairezombiesclub,0.07
26/12/2021 20:30,boredapeyachtclub,59.0
26/12/2021 20:30,adidasoriginals,0.7
26/12/2021 20:30,veefriends,7.99999
26/12/2021 20:30,derace-ticket,2.74
26/12/2021 20:30,zed-run-official,0.0097
26/12/2021 20:30,derace-horses,0.75
29/12/2021 20:00,bigtime-founders,0.256
26/12/2021 20:40,slotienft,0.45
26/12/2021 20:40,billionairezombiesclub,0.07
26/12/2021 20:40,boredapeyachtclub,59.0
26/12/2021 20:40,adidasoriginals,0.72
26/12/2021 20:40,veefriends,8.9999
26/12/2021 20:40,derace-ticket,2.74
26/12/2021 20:40,zed-run-official,0.0096
26/12/2021 20:40,derace-horses,0.75
29/12/2021 20:10,bigtime-founders,0.256
26/12/2021 21:00,slotienft,0.45
26/12/2021 21:00,billionairezombiesclub,0.07
26/12/2021 21:00,boredapeyachtclub,59.0
26/12/2021 21:00,adidasoriginals,0.729
26/12/2021 21:00,veefriends,8.9999
26/12/2021 21:00,derace-ticket,2.74
26/12/2021 21:00,zed-run-official,0.0097
26/12/2021 21:00,derace-horses,0.75
